feature,coef,abs_coef
high_prior_utilization,0.5160324371469782,0.5160324371469782
number_diagnoses,0.3055882639149891,0.3055882639149891
num_procedures,-0.18316730152664934,0.18316730152664934
polypharmacy,0.15801072390225512,0.15801072390225512
time_in_hospital,0.11490561799236348,0.11490561799236348
age_midpoint,-0.11041313814944502,0.11041313814944502
num_medications,-0.10951991568452737,0.10951991568452737
num_lab_procedures,-0.10850167631838867,0.10850167631838867
insulin_level,0.09588072461781558,0.09588072461781558
diabetes_complications,0.07582010789391065,0.07582010789391065
cardiovascular,0.0570713432332491,0.0570713432332491
renal,0.05003343286686676,0.05003343286686676
respiratory,0.025119950733769634,0.025119950733769634
long_los,0.014089486640434912,0.014089486640434912
a1c_abnormal,0.0,0.0
